"","year","month","tmin","tmax","spei","drought","yrmo","tave","wy","wymo","p","T_anom","P_anom"
"1",1941,1,7.18637992831541,18.7455197132616,NA,"none","1941-1",12.9659498207885,1941,4,245.872,0.412416138222586,145.301025822192
"2",1941,2,8.9484126984127,18.6706349206349,NA,"none","1941-2",13.8095238095238,1941,5,208.534,0.667618819558474,106.930743771564
"3",1941,3,8.9247311827957,20.2150537634409,NA,"none","1941-3",14.5698924731183,1941,6,297.434,0.614820107980584,218.598582942139
"4",1941,4,8.48148148148148,19.6481481481482,NA,"none","1941-4",14.0648148148148,1941,7,139.7,-1.22053872053872,107.376233808779
"5",1941,5,12.0071684587814,25.0716845878136,NA,"none","1941-5",18.5394265232975,1941,8,0.254,2.22653449820789,-8.4581999767875
"6",1941,6,11.4074074074074,23.1666666666667,NA,"none","1941-6",17.287037037037,1941,9,0,-0.392281795108065,-2.25063290401266
"7",1941,7,13.5483870967742,24.6057347670251,NA,"none","1941-7",19.0770609318996,1941,10,0.762,-0.436905537711993,0.207818182545455
"8",1941,8,13.5304659498208,25.6272401433692,NA,"none","1941-8",19.578853046595,1941,11,0.254,-0.432035751553926,-0.485493670594937
"9",1941,9,11.9074074074074,24.7592592592593,NA,"none","1941-9",18.3333333333333,1941,12,0,-1.15211226851851,-4.6958249964375
"10",1941,10,9.13978494623656,24.7670250896057,NA,"none","1941-10",16.9534050179211,1942,1,22.606,-0.817976288944035,7.06315386252564
"11",1941,11,6.74074074074074,23.4537037037037,NA,"none","1941-11",15.0972222222222,1942,2,11.43,-0.0512226970560334,-34.8859230367692
"12",1941,12,7.11469534050179,18.6021505376344,1.69671323742755,"none","1941-12",12.8584229390681,1942,3,147.066,0.0337837837837824,73.3957027784189
"13",1942,1,5.62724014336918,19.5519713261649,1.24558837196521,"none","1942-1",12.589605734767,1942,4,23.114,0.0360720522010851,-77.4569741778077
"14",1942,2,4.50396825396826,18.4920634920635,0.606270339546509,"none","1942-2",11.4980158730159,1942,5,16.256,-1.64388911694946,-85.3472562284359
"15",1942,3,5.0179211469534,20.3584229390681,-0.687362260627698,"dry","1942-3",12.6881720430108,1942,6,39.116,-1.26690032212695,-39.7194170578608
"16",1942,4,9.20370370370371,19.5740740740741,-1.06487876426639,"moderate","1942-4",14.3888888888889,1942,7,67.31,-0.896464646464649,34.9862338087792
"17",1942,5,8.79928315412187,22.3566308243728,-1.02774395840765,"moderate","1942-5",15.5779569892473,1942,8,0,-0.734935035842291,-8.7121999767875
"18",1942,6,11.962962962963,22.2592592592593,-0.94026043123685,"moderate","1942-6",17.1111111111111,1942,9,0.254,-0.568207721033996,-1.99663290401266
"19",1942,7,14.4802867383513,25.6272401433692,-1.01113464542959,"moderate","1942-7",20.0537634408602,1942,10,0,0.539796971248585,-0.554181817454545
"20",1942,8,14.15770609319,24.8745519713262,-0.960867188727906,"moderate","1942-8",19.5161290322581,1942,11,0.762,-0.494759765890841,0.0225063294050633
"21",1942,9,11.7037037037037,24.3333333333333,-0.951642395645259,"moderate","1942-9",18.0185185185185,1942,12,0.762,-1.46692708333334,-3.9338249964375
"22",1942,10,11.7025089605735,24.1845878136201,-0.939592311315427,"moderate","1942-10",17.9435483870968,1943,1,18.796,0.172167080231599,3.25315386252564
"23",1942,11,7.24074074074074,22.6851851851852,-0.868902274798044,"dry","1942-11",14.962962962963,1943,2,14.986,-0.185481956315289,-31.3299230367692
"24",1942,12,5.08960573476703,20.089605734767,-1.64491524307844,"extreme","1942-12",12.589605734767,1943,3,32.004,-0.235033420517292,-41.6662972215811
"25",1943,1,4.44444444444444,18.8351254480287,-0.082397929463923,"none","1943-1",11.6397849462366,1943,4,296.418,-0.913748736329381,195.847025822192
"26",1943,2,5.7936507936508,20.2579365079365,0.12949978607397,"none","1943-2",13.0257936507936,1943,5,59.182,-0.11611133917169,-42.4212562284359
"27",1943,3,8.60215053763442,18.7455197132617,0.321418996312089,"none","1943-3",13.673835125448,1943,6,58.928,-0.281237239689663,-19.9074170578608
"28",1943,4,8.81481481481482,20.6666666666667,0.057032143581639,"none","1943-4",14.7407407407407,1943,7,22.352,-0.544612794612794,-9.97176619122078
"29",1943,5,10.2329749103943,23.2258064516129,0.0530515779864638,"none","1943-5",16.7293906810036,1943,8,0.254,0.41649865591398,-8.4581999767875
"30",1943,6,9.96296296296297,24,-0.0476937967864168,"none","1943-6",16.9814814814815,1943,9,0,-0.697837350663626,-2.25063290401266
