ID date mm Flag
200 1951-09-17  0.01 -999
200 1951-10-24  0.30 P
200 1951-11-19  0.81 -999
200 1951-11-20  0.16 -999
200 1951-11-21  0.19 -999
200 1951-12-01  1.25 -999
200 1951-12-03  0.49 P
200 1951-12-04  0.69 -999
200 1951-12-11  0.16 P
200 1951-12-12  0.70 -999
200 1951-12-18  0.07 -999
200 1951-12-19  0.05 -999
200 1951-12-28  0.20 -999
200 1951-12-29  1.40 -999
200 1951-12-30  0.48 -999
200 1952-01-06  0.58 -999
200 1952-01-07  0.02 -999
200 1952-01-08  0.07 -999
200 1952-01-11  0.12 -999
200 1952-01-12  1.32 -999
200 1952-01-13  0.33 -999
200 1952-01-14  0.68 -999
200 1952-01-15  3.11 -999
200 1952-01-16  0.12 -999
200 1952-01-17  1.41 -999
200 1952-01-18  0.53 -999
200 1952-01-24  0.74 -999
200 1952-01-25  0.38 -999
200 1952-02-11  0.09 -999
200 1952-02-29  0.60 -999
200 1952-03-01  0.12 -999
200 1952-03-03  0.07 -999
200 1952-03-04  0.04 -999
200 1952-03-06  1.15 -999
200 1952-03-07  0.43 -999
200 1952-03-08  0.11 -999
200 1952-03-10  0.15 -999
200 1952-03-12  0.25 -999
200 1952-03-14  1.36 -999
200 1952-03-15  2.74 -999
200 1952-03-16  0.10 -999
200 1952-03-18  0.26 -999
200 1952-03-19  0.01 -999
200 1952-04-07  0.76 -999
200 1952-04-10  0.28 -999
200 1952-04-25  0.45 -999
200 1952-04-26  0.02 -999
200 1952-06-05  0.01 -999
200 1952-06-06  0.01 -999
200 1952-10-17  0.02 -999
200 1952-10-22  0.02 -999
200 1952-11-14  1.46 -999
200 1952-11-15  1.92 -999
200 1952-11-16  0.01 -999
200 1952-11-29  0.61 -999
200 1952-11-30  0.02 -999
200 1952-12-01  0.60 -999
200 1952-12-05  0.13 -999
200 1952-12-07  0.39 -999
200 1952-12-19  1.07 -999
200 1952-12-20  0.27 -999
200 1952-12-27  1.10 -999
200 1952-12-28  0.35 -999
200 1952-12-30  0.89 -999
200 1953-01-06  0.26 -999
200 1953-01-07  0.18 -999
200 1953-01-08  0.27 -999
200 1953-01-13  1.03 -999
200 1953-01-14  0.01 -999
200 1953-03-10  0.17 -999
200 1953-03-19  0.43 -999
200 1953-04-19  0.29 -999
200 1953-04-20  0.03 -999
200 1953-04-21  0.01 -999
200 1953-04-26  0.02 -999
200 1953-04-27  0.80 -999
200 1953-05-27  0.03 -999
200 1953-06-17  0.04 -999
200 1953-11-04  0.02 -999
200 1953-11-05  0.17 -999
200 1953-11-10  0.03 -999
200 1953-11-13  0.02 -999
200 1953-11-14  2.17 -999
200 1953-11-20  0.01 -999
200 1953-12-04  0.03 -999
200 1954-01-11  0.19 -999
200 1954-01-12  0.78 -999
200 1954-01-17  0.33 -999
200 1954-01-18  0.53 -999
200 1954-01-19  1.54 -999
200 1954-01-20  0.03 -999
200 1954-01-23  0.18 -999
200 1954-01-24  1.25 -999
200 1954-01-25  0.10 -999
200 1954-02-12  0.02 -999
200 1954-02-13  1.79 -999
200 1954-02-14  0.22 -999
200 1954-02-17  0.25 -999
