rhessys_version,tec_file,world_file,world_hdr_prefix,flow_file,start_date,end_date,output_folder,output_filename,command_options,par_dated_id,dated_id,par_id,../defs/veg_decid.def:epc.day_leafon,../defs/veg_decid.def:epc.day_leafoff,../defs/veg_decid.def:epc.ndays_expand,../defs/veg_decid.def:epc.ndays_litfall,../defs/veg_decid.def:group_id,def_id,../defs/stdbasin.def:group_id,../defs/stdhillslope.def:group_id,../defs/stdzone.def:group_id,../defs/shallow_NT.def:group_id,../defs/lu_undev.def:group_id,all_id,hdr_id
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,1,0,1,254.757411777973,103.40187212918,66.2088115559891,72.7995597571135,1,1,0,0,0,0,0,1,1
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,2,0,2,298.422721051611,90.735348444432,97.6993908709846,39.6019648108631,2,2,0,0,0,0,0,2,2
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,3,0,3,260.214540734887,117.220363835804,101.475251207594,49.8140808753669,3,3,0,0,0,0,0,3,3
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,4,0,4,253.81382687483,130.701342299581,36.7719202651642,61.8667967012152,4,4,0,0,0,0,0,4,4
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,5,0,5,291.838931303937,111.828727391548,73.1528753251769,86.8624519044533,5,5,0,0,0,0,0,5,5
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,6,0,6,299.609843606595,130.620023785159,57.9921120288782,76.1154102953151,6,6,0,0,0,0,0,6,6
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,7,0,7,285.46013730811,96.095744962804,117.753841539379,48.2125548273325,7,7,0,0,0,0,0,7,7
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,8,0,8,271.821181627456,121.330249370076,87.6463496312499,30.9636785415933,8,8,0,0,0,0,0,8,8
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,9,0,9,280.181628093123,134.28258923348,106.447422970086,50.3552774107084,9,9,0,0,0,0,0,9,9
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,10,0,10,272.938389948104,140.287335072644,70.9956971160136,54.2312653921545,10,10,0,0,0,0,0,10,10
